Month,International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60
61,1
62,6
63,6
64,3
65,3
66,2
67,3
68,0
69,3
70,3
71,1
72,5
73,0
74,2
75,2
76,0
77,3
78,0
79,4
80,4
81,4
82,3
83,4
84,2
85,3
86,4
87,1
88,2
89,2
90,5
91,5
92,1
93,0
94,0
95,0
96,4
97,2
98,1
99,1
100,3
101,3
102,4
103,3
104,2
105,1
106,4
107,3
108,0
109,2
110,4
111,4
112,1
113,2
114,0
115,1
116,4
117,1
118,4
119,0
120,5
121,3
122,1
123,4
124,1
125,4
126,3
127,4
128,4
129,2
130,5
131,1
132,2
133,2
134,3
135,2
136,2
137,2
138,2
139,2
140,1
141,2
142,4
143,1
144,1
145,4
146,4
147,4
148,0
149,1
150,5
151,3
152,2
153,0
154,3
155,2
156,2
157,1
158,1
159,1
160,1
161,3
162,7
163,1
164,6
165,2
166,1
167,4
168,5
169,2
170,3
171,3
172,6
173,4
174,3
175,4
176,4
177,6
178,3
179,4
180,3
181,4
182,2
183,3
184,2
185,6
186,6
187,3
188,5
189,3
190,1
191,1
192,3
193,0
194,1
195,4
196,3
197,2
198,6
199,1
200,2
201,2
202,8
203,2
204,3
205,3
206,4
207,3
208,5
209,4
210,1
211,4
212,1
213,5
214,1
215,1
216,7
217,2
218,4
219,2
220,3
221,6
222,3
223,3
224,2
225,5
226,4
227,6
228,6
229,2
230,6
231,1
232,3
233,2
234,0
235,5
236,5
237,6
238,2
239,4
240,2
241,3
242,2
243,0
244,3
245,6
246,1
247,6
248,3
249,4
250,1
251,6
252,3
253,2
254,2
255,7
256,2
257,2
258,7
259,2
260,5
261,6
262,2
263,7
264,2
265,2
266,3
267,2
268,2
269,3
270,3
271,4
272,4
273,6
274,1
275,0
276,3
277,4
278,6
279,1
280,1
281,4
282,2
283,1
284,4
285,3
286,5
287,2
288,4
289,1
290,1
291,3
292,1
293,3
294,2
295,1
296,2
297,0
298,1
299,1
300,1
301,2
302,5
303,1
304,1
305,2
306,4
307,2
308,1
309,1
310,3
311,3
312,1
313,1
314,1
315,1
316,1
317,3
318,3
319,4
320,1
321,0
322,4
323,1
324,2
325,4
326,2
327,1
328,1
329,2
330,3
331,2
332,2
333,2
334,2
335,1
336,2
337,3
338,3
339,2
340,5
341,1
342,5
343,2
344,0
345,3
346,1
347,1
348,4
349,9
350,0
351,8
352,4
353,7
354,4
355,8
356,6
357,2
358,6
359,8
360,2
361,4
362,2
363,6
364,6
365,0
366,3
